iter	Passed	Remaining
0	1	1938
1	3	1845
2	5	1794
3	7	1900
4	9	1891
5	12	2006
6	14	1993
7	16	2092
8	19	2152
9	21	2149
10	23	2088
11	25	2076
12	26	1995
13	27	1926
14	28	1897
15	29	1843
16	30	1786
17	31	1745
18	32	1701
19	33	1662
20	35	1650
21	36	1632
22	37	1607
23	38	1582
24	39	1559
25	41	1552
26	42	1529
27	43	1505
28	44	1483
29	45	1473
30	47	1470
31	48	1462
32	49	1454
33	50	1440
34	52	1435
35	53	1427
36	54	1412
37	55	1396
38	56	1386
39	57	1376
40	58	1377
41	60	1375
42	61	1366
43	62	1356
44	64	1371
45	65	1360
46	66	1348
47	67	1340
48	68	1330
49	69	1323
50	71	1324
51	72	1322
52	73	1315
53	75	1315
54	76	1306
55	77	1298
56	77	1288
57	78	1279
58	79	1275
59	80	1267
60	82	1272
61	83	1269
62	85	1265
63	86	1258
64	88	1271
65	89	1265
66	90	1257
67	91	1250
68	92	1248
69	93	1242
70	95	1244
71	96	1242
72	97	1239
73	98	1233
74	100	1235
75	101	1233
76	102	1227
77	103	1222
78	104	1217
79	105	1218
80	107	1217
81	108	1214
82	109	1213
83	110	1208
84	112	1205
85	112	1200
86	113	1195
87	114	1190
88	116	1188
89	116	1182
90	118	1184
91	119	1181
92	120	1179
93	122	1176
94	123	1172
95	124	1168
96	125	1163
97	125	1158
98	126	1153
99	128	1156
100	129	1154
101	130	1151
102	132	1151
103	133	1147
104	135	1152
105	136	1149
106	137	1145
107	138	1140
108	138	1135
109	139	1131
110	141	1135
111	142	1132
112	144	1130
113	145	1128
114	147	1131
115	148	1128
116	149	1126
117	150	1122
118	151	1118
119	152	1117
120	154	1119
121	155	1117
122	156	1115
123	157	1113
124	158	1111
125	159	1108
126	160	1105
127	161	1102
128	162	1100
129	164	1102
130	165	1101
131	167	1100
132	168	1097
133	169	1095
134	170	1092
135	171	1088
136	172	1085
137	173	1082
138	174	1080
139	175	1078
140	177	1078
141	178	1077
142	179	1075
143	180	1072
144	183	1079
145	184	1076
146	184	1072
147	185	1069
148	187	1068
149	188	1067
150	189	1066
151	190	1064
152	192	1063
153	193	1060
154	195	1063
155	196	1061
156	197	1058
157	198	1055
158	199	1052
159	201	1056
160	202	1055
161	203	1053
162	204	1050
163	206	1050
164	207	1050
165	208	1047
166	209	1045
167	210	1042
168	211	1040
169	213	1040
170	214	1039
171	215	1037
172	216	1035
173	217	1034
174	219	1033
175	220	1030
176	221	1027
177	222	1026
178	223	1025
179	224	1024
180	226	1023
181	227	1022
182	228	1020
183	229	1018
184	230	1017
185	231	1014
186	232	1012
187	234	1010
188	235	1008
189	236	1008
190	237	1007
191	239	1006
192	240	1007
193	242	1006
194	243	1004
195	244	1002
196	245	999
197	246	999
198	248	999
199	249	997
200	250	997
201	252	995
202	254	1000
203	255	998
204	256	995
205	257	993
206	259	993
207	260	992
208	261	991
209	263	990
210	264	989
211	266	991
212	267	989
213	268	987
214	269	985
215	278	1009
216	282	1019
217	287	1032
218	292	1042
219	308	1092
220	314	1108
221	327	1149
222	332	1158
223	340	1180
224	345	1191
225	350	1201
226	354	1206
227	359	1218
228	366	1233
229	370	1241
230	376	1253
231	380	1260
232	385	1268
233	389	1273
234	393	1282
235	402	1302
236	406	1308
237	410	1315
238	415	1323
239	426	1350
240	430	1355
241	435	1364
242	440	1372
243	449	1392
244	453	1398
245	459	1407
246	461	1407
247	466	1415
248	476	1437
249	480	1442
250	487	1455
251	493	1464
252	497	1470
253	502	1474
254	507	1483
255	511	1487
256	521	1506
257	525	1510
258	529	1514
259	533	1518
260	537	1522
261	545	1537
262	549	1540
263	553	1543
264	560	1555
265	567	1565
266	571	1569
267	576	1575
268	583	1585
269	588	1590
270	592	1593
271	598	1600
272	605	1612
273	609	1616
274	617	1626
275	621	1631
276	626	1634
277	632	1642
278	643	1662
279	646	1662
280	650	1665
281	656	1670
282	660	1673
283	665	1677
284	673	1689
285	678	1693
286	683	1697
287	688	1701
288	699	1720
289	703	1721
290	707	1722
291	712	1728
292	717	1731
293	724	1740
294	729	1742
295	733	1744
296	737	1744
297	744	1752
298	747	1753
299	752	1754
300	756	1755
301	760	1757
302	764	1759
303	769	1761
304	774	1764
305	778	1766
306	789	1781
307	793	1781
308	798	1784
309	801	1783
310	812	1799
311	815	1799
312	820	1801
313	825	1802
314	833	1812
315	837	1813
316	842	1814
317	848	1819
318	852	1819
319	860	1829
320	865	1830
321	869	1831
322	874	1832
323	878	1833
324	887	1844
325	891	1843
326	897	1846
327	901	1846
328	906	1849
329	910	1849
330	915	1849
331	920	1851
332	923	1848
333	933	1861
334	939	1864
335	943	1863
336	949	1868
337	953	1867
338	956	1865
339	965	1873
340	969	1873
341	974	1875
342	984	1884
343	988	1885
344	994	1887
345	998	1886
346	1008	1897
347	1029	1928
348	1036	1933
349	1043	1938
350	1048	1938
351	1053	1939
352	1055	1935
353	1062	1938
354	1072	1947
355	1076	1946
356	1081	1947
357	1085	1947
358	1098	1962
359	1103	1962
360	1110	1965
361	1120	1974
362	1124	1973
363	1130	1974
364	1146	1994
365	1152	1996
366	1155	1993
367	1162	1996
368	1167	1996
369	1173	1998
370	1191	2020
371	1198	2023
372	1204	2024
373	1212	2029
374	1216	2028
375	1221	2027
376	1225	2025
377	1233	2030
378	1238	2029
379	1243	2028
380	1247	2027
381	1253	2028
382	1258	2026
383	1263	2026
384	1268	2025
385	1281	2038
386	1287	2038
387	1291	2037
388	1305	2050
389	1310	2049
390	1316	2049
391	1321	2049
392	1330	2054
393	1334	2053
394	1359	2081
395	1364	2080
396	1369	2080
397	1382	2091
398	1387	2090
399	1392	2089
400	1401	2094
401	1406	2091
402	1410	2089
403	1415	2087
404	1422	2089
405	1426	2087
406	1472	2144
407	1478	2145
408	1484	2145
409	1494	2150
410	1512	2167
411	1519	2168
412	1524	2167
413	1530	2166
414	1544	2177
415	1577	2215
416	1585	2216
417	1601	2230
418	1603	2223
419	1605	2217
420	1607	2210
421	1608	2203
422	1609	2195
423	1611	2188
424	1612	2181
425	1613	2174
426	1614	2167
427	1615	2159
428	1617	2152
429	1618	2145
430	1619	2138
431	1620	2131
432	1622	2124
433	1623	2117
434	1624	2110
435	1625	2103
436	1627	2096
437	1628	2089
438	1629	2082
439	1631	2075
440	1632	2068
441	1633	2061
442	1634	2054
443	1635	2047
444	1636	2040
445	1637	2034
446	1638	2027
447	1641	2022
448	1643	2016
449	1644	2009
450	1645	2002
451	1646	1995
452	1647	1989
453	1648	1982
454	1649	1975
455	1650	1969
456	1652	1962
457	1654	1957
458	1655	1950
459	1655	1943
460	1656	1937
461	1658	1931
462	1659	1924
463	1660	1918
464	1661	1911
465	1663	1906
466	1664	1899
467	1665	1893
468	1666	1886
469	1667	1880
470	1668	1874
471	1669	1868
472	1670	1861
473	1672	1855
474	1673	1849
475	1674	1843
476	1676	1837
477	1677	1831
478	1678	1825
479	1679	1819
480	1680	1813
481	1681	1807
482	1682	1801
483	1683	1795
484	1684	1789
485	1686	1783
486	1688	1778
487	1689	1772
488	1690	1766
489	1691	1760
490	1692	1754
491	1693	1748
492	1694	1742
493	1695	1737
494	1697	1731
495	1698	1725
496	1699	1720
497	1701	1714
498	1702	1709
499	1703	1703
500	1704	1697
501	1705	1691
502	1706	1685
503	1707	1680
504	1708	1674
505	1709	1668
506	1711	1664
507	1713	1659
508	1713	1653
509	1714	1647
510	1715	1642
511	1716	1636
512	1717	1630
513	1719	1625
514	1720	1620
515	1722	1615
516	1723	1609
517	1724	1604
518	1725	1598
519	1726	1593
520	1726	1587
521	1728	1582
522	1729	1577
523	1730	1571
524	1731	1566
525	1732	1561
526	1734	1556
527	1736	1551
528	1737	1546
529	1738	1541
530	1739	1536
531	1740	1531
532	1741	1525
533	1742	1520
534	1743	1515
535	1744	1510
536	1746	1505
537	1748	1501
538	1749	1496
539	1750	1491
540	1751	1485
541	1752	1481
542	1753	1476
543	1755	1471
544	1756	1466
545	1757	1461
546	1758	1456
547	1760	1452
548	1761	1447
549	1762	1442
550	1763	1437
551	1764	1432
552	1765	1427
553	1767	1422
554	1768	1417
555	1769	1412
556	1770	1408
557	1772	1403
558	1773	1399
559	1774	1394
560	1775	1389
561	1776	1384
562	1777	1379
563	1779	1375
564	1780	1370
565	1781	1365
566	1783	1361
567	1784	1357
568	1785	1352
569	1786	1347
570	1787	1343
571	1788	1338
572	1789	1333
573	1791	1329
574	1792	1324
575	1793	1319
576	1794	1315
577	1796	1311
578	1797	1306
579	1797	1301
580	1798	1297
581	1800	1293
582	1801	1288
583	1802	1284
584	1805	1280
585	1806	1276
586	1807	1271
587	1808	1267
588	1809	1262
589	1810	1258
590	1811	1253
591	1812	1249
592	1813	1244
593	1814	1240
594	1815	1236
595	1817	1231
596	1818	1227
597	1819	1223
598	1820	1218
599	1821	1214
600	1822	1209
601	1823	1205
602	1824	1201
603	1825	1197
604	1826	1192
605	1829	1189
606	1830	1185
607	1831	1180
608	1832	1176
609	1833	1172
610	1834	1168
611	1835	1163
612	1836	1159
613	1838	1155
614	1839	1151
615	1840	1147
616	1842	1143
617	1844	1139
618	1845	1135
619	1846	1131
620	1847	1127
621	1848	1123
622	1849	1119
623	1850	1115
624	1852	1111
625	1853	1107
626	1855	1103
627	1856	1099
628	1857	1095
629	1858	1091
630	1859	1087
631	1860	1083
632	1861	1079
633	1862	1075
634	1864	1071
635	1865	1067
636	1866	1063
637	1867	1059
638	1868	1055
639	1869	1051
640	1870	1047
641	1871	1043
642	1873	1040
643	1874	1036
