iter	Passed	Remaining
0	468	468321
1	469	234512
2	470	156466
3	471	117450
4	473	94146
5	474	78613
6	475	67450
7	476	59074
8	477	52553
9	478	47338
10	479	43070
11	479	39511
12	480	36499
13	481	33917
14	482	31680
15	483	29724
16	484	27996
17	485	26460
18	485	25087
19	487	23910
20	488	22795
21	490	21787
22	491	20860
23	492	20014
24	493	19235
25	494	18512
26	495	17844
27	496	17232
28	497	16651
29	498	16108
30	499	15600
31	499	15123
32	501	14681
33	502	14265
34	502	13868
35	503	13492
36	504	13137
37	505	12800
38	506	12480
39	507	12175
40	508	11886
41	509	11612
42	509	11349
43	510	11098
44	511	10859
45	512	10630
46	513	10409
47	514	10210
48	516	10015
49	516	9820
50	517	9633
51	518	9453
52	519	9280
53	520	9112
54	521	8951
55	522	8799
56	522	8651
57	523	8506
58	524	8366
59	525	8230
60	526	8105
61	527	7979
62	528	7857
63	529	7738
64	529	7622
65	530	7511
66	531	7402
67	532	7297
68	533	7194
69	534	7094
70	534	6998
71	535	6903
72	536	6812
73	537	6723
74	538	6636
75	538	6551
76	539	6469
77	541	6395
78	541	6317
79	542	6241
80	543	6167
81	544	6095
82	544	6019
83	545	5950
84	546	5883
85	547	5817
86	548	5752
87	548	5689
88	549	5627
89	550	5567
90	551	5508
91	552	5450
92	553	5393
93	553	5338
94	555	5292
95	556	5239
96	557	5187
97	558	5136
98	558	5085
99	559	5036
100	560	4988
101	561	4941
102	562	4895
103	562	4849
104	563	4805
105	564	4761
106	565	4718
107	566	4676
108	566	4634
109	567	4594
110	569	4558
111	569	4519
112	570	4480
113	571	4442
114	572	4405
115	573	4368
116	573	4331
117	574	4295
118	575	4260
119	576	4226
120	577	4192
121	577	4158
122	578	4125
123	579	4093
124	580	4061
125	581	4030
126	581	3998
127	583	3972
128	584	3943
129	585	3915
130	586	3887
131	587	3860
132	587	3832
133	588	3805
134	589	3779
135	590	3753
136	591	3729
137	593	3705
138	594	3680
139	594	3654
140	595	3630
141	596	3606
142	597	3582
143	598	3558
144	599	3534
145	600	3510
146	600	3487
147	601	3464
148	602	3441
149	603	3419
150	604	3397
151	605	3375
152	605	3354
153	606	3332
154	607	3312
155	608	3291
156	609	3271
157	610	3255
158	611	3236
159	613	3219
160	613	3197
161	614	3178
162	615	3159
163	616	3140
164	616	3122
165	617	3103
166	618	3085
167	619	3067
168	620	3049
169	621	3032
170	621	3014
171	623	2999
172	624	2984
173	625	2968
174	626	2953
175	627	2937
176	628	2922
177	629	2906
178	630	2891
179	631	2876
180	632	2861
181	633	2846
182	634	2830
183	634	2815
184	635	2800
185	636	2785
186	638	2775
187	639	2762
188	640	2749
189	641	2735
190	642	2721
191	643	2707
192	644	2693
193	645	2679
194	645	2666
195	646	2653
196	647	2639
197	648	2626
198	649	2613
199	650	2600
200	650	2587
201	652	2577
202	653	2565
203	654	2552
204	655	2540
205	655	2527
206	656	2515
207	657	2503
208	658	2491
209	659	2479
210	659	2467
211	660	2455
212	661	2444
213	662	2432
214	663	2421
215	664	2410
216	664	2398
217	665	2388
218	667	2379
219	668	2368
220	668	2357
221	669	2346
222	670	2336
223	671	2325
224	672	2315
225	672	2304
226	673	2294
227	674	2284
228	675	2274
229	676	2264
230	677	2254
231	677	2244
